序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
68,"幸福苑","冬山鄉","向昱建設股份有限公司","八仙段253地號","特定農業區甲種建築用地",36,113/07/17,1,12.5,12.5,12.5,114/07/29,114/07/14,114/10/10,115/06/30,18,50,29.1,27.3,31.1,1176.4,2.33,16.6,12.4,14.8,8.6,已開賣(有預售實登),
69,"臻美2","冬山鄉","臻美開發建設有限公司","義成四段991地號","農業區",8,109/08/18,1,12.1,12.1,12.1,111/03/07,111/03/29,111/06/21,112/09/24,8,100,28.7,27.9,29.9,1720.8,2.37,16.6,18.6,22.1,15.1,已開賣(有預售實登),
70,"龍祥幸福居","冬山鄉","元旭建設有限公司","東興段246地號","工業區丁種建築用地",14,114/01/05,1,7.7,7.7,7.7,114/07/10,114/08/05,114/10/30,115/04/20,4,28.6,28.7,28.6,28.9,777,3.73,21,6.1,9.8,5.7,已開賣(有預售實登),
71,"美澍川NO.9","冬山鄉","北岳建設股份有限公司","武淵二段266地號","特定農業區甲種建築用地",41,113/03/02,1,12,12,12,114/05/08,114/08/08,114/10/07,115/07/30,16,39,28.5,25.9,33.2,1070.3,2.38,16.5,14.2,19.2,9.7,已開賣(有預售實登),
72,"旭川2","冬山鄉","知筑開發有限公司","義成八段852地號","農業區/特定農業區甲種建築用地",41,111/12/19,1,7.8,7.8,7.8,113/04/12,113/05/03,113/06/13,115/05/31,23,56.1,28.3,26.3,33.3,1008.3,3.63,20.5,15.8,17.8,23.6,已開賣(有預售實登),
73,"靚永美7","冬山鄉","和昌開發建設有限公司","武淵二段196地號","鄉村區乙種建築用地",19,113/06/06,6,10.8,9.5,12,115/01/19,115/05/14,115/07/03,115/07/27,2,11,27.8,27.1,28.4,1475.5,2.57,17,19.4,24.9,0.8,已開賣(有預售實登),
74,"初日","冬山鄉","鴻陞開發建設有限公司","廣興一段1118地號","特定農業區甲種建築用地",6,113/07/20,1,12.7,12.7,12.7,114/08/21,114/12/30,115/05/24,115/05/24,1,16.7,27.4,27.4,27.4,1660,2.16,14.7,13,22.1,0,已開賣(有預售實登),
75,"宏江畔溪","冬山鄉","宏江開發事業股份有限公司","柯林二段156地號","特定農業區甲種建築用",54,112/02/12,1,11,11,11,112/06/15,112/07/18,112/09/20,114/11/14,50,92.6,26.6,22.1,32.7,594.9,2.42,15.6,4,7.2,25.8,已開賣(有預售實登),
76,"多元邑居","冬山鄉","多元建設有限公司","廣安段709地號","鄉村區乙種建築用地",12,111/11/20,1,13,13,13,112/12/13,113/07/11,113/09/17,115/06/24,8,66.7,26.4,25,27.6,768.5,2.03,13.4,12.7,21.9,21.2,已開賣(有預售實登),
77,"香榭麗舍NO.10","冬山鄉","鳳正建設有限公司","鹿得一段609-3地號","特定農業區甲種建築用地",38,113/06/12,1,10.1,10.1,10.1,114/05/09,114/11/13,115/06/10,115/06/26,2,5.3,26.3,22.9,29.7,912.5,2.6,16.2,10.9,23.9,0.5,已開賣(有預售實登),
78,"臻愛家No.1","冬山鄉","僑馥建築經理股份有限公司","補城一段346地號","特定農業區甲種建築用地",10,112/11/07,1,8.8,8.8,8.8,113/02/07,113/06/25,113/07/14,113/12/22,6,60,25.8,24.1,30.6,768.5,2.93,17,3,8.2,5.3,已開賣(有預售實登),
79,"宏江沐光","冬山鄉","宏江開發事業股份有限公司","義成四段85地號","住宅區",36,110/01/05,1,10.5,10.5,10.5,110/12/23,111/02/24,111/01/22,114/12/25,33,91.7,25.2,21.9,33.6,940.6,2.4,14.7,11.6,12.6,47.1,已開賣(有預售實登),
80,"慈心香和合作住宅","冬山鄉","宜泰生活有限公司","香和段1191地號","住宅區",11,112/12/05,1,13.2,13.2,13.2,113/12/20,115/03/05,115/03/12,115/04/12,8,72.7,25.2,24.6,25.7,976.8,1.91,12,12.5,27.2,1,已開賣(有預售實登),
81,"京采冬山5","冬山鄉","京澐開發建設股份有限公司","補城二段1111地號","特定農業區甲種建築用地",11,113/01/30,1,6.9,6.9,6.9,114/04/25,114/06/24,114/09/01,115/01/21,10,90.9,24.9,23.4,26.7,1208.4,3.61,18,14.8,19.1,4.7,已開賣(有預售實登),
82,"博愛日日春","冬山鄉","富麗金建設有限公司","珍珠一段477地號","特定農業區甲種建築用地",39,112/08/12,1,5.3,5.3,5.3,114/03/20,114/11/18,115/01/22,115/07/21,16,41,24.9,22.6,28.8,694.5,4.7,19.6,19.3,29.4,5.9,已開賣(有預售實登),
83,"鑫院II","冬山鄉","仲和建築經理股份有限公司","武淵三段446地號","特定農業區甲種建築用地",9,112/10/06,1,9.1,9.1,9.1,114/08/13,114/04/22,114/09/09,114/09/09,3,33.3,24.3,23.3,25.3,1143.3,2.67,15.2,22.2,23.1,0,已開賣(有預售實登),
84,"京禾文學苑五期","冬山鄉","京禾建設有限公司","香和段1050地號","住宅區",29,111/11/19,1,14.6,14.6,14.6,112/10/03,113/03/11,113/11/29,114/06/20,13,44.8,23.9,20,27.9,755,1.64,9.3,10.4,24.3,6.7,已開賣(有預售實登),
85,"艾美二期","冬山鄉","福本建設有限公司","寶員段889地號","特定農業區甲種建築用地",18,113/07/02,4,6.5,5.5,6.8,114/06/09,114/07/08,114/10/12,115/04/16,5,27.8,23.8,21.5,25.6,1255.6,3.66,17.3,11.2,15.3,6.1,已開賣(有預售實登),
86,"心天地2期","冬山鄉","吉太國際租賃有限公司","梅山段531地號","特定農業區甲種建築用地",7,112/05/10,1,9.6,9.6,9.6,113/05/13,113/09/01,114/01/06,114/01/10,2,28.6,23.5,23.1,23.9,1680,2.45,13.9,12.1,19.9,0.1,已開賣(有預售實登),
87,"鳳凰愛買26期","冬山鄉","以立建設股份有限公司","義成七段339地號","農業區",31,113/03/26,1,12,12,12,115/05/13,115/05/22,115/06/13,115/07/27,12,39,23.5,22.3,24.7,1297.1,1.96,11.5,25.6,26.6,1.4,已開賣(有預售實登),
88,"勻川Villa","冬山鄉","向杺力建設有限公司","武淵二段502地號","特定農業區甲種建築用地",4,110/12/26,1,7.6,7.6,7.6,111/05/23,111/06/18,111/08/16,111/09/02,4,100,23.1,22.3,24.6,1794.2,3.04,15.5,4.9,7.7,0.6,已開賣(有預售實登),
89,"永悅","冬山鄉","廣和開發建設股份有限公司","義成一段401地號","特定農業區甲種建築用地",18,110/06/01,1,14.5,14.5,14.5,110/12/24,111/05/04,112/03/01,113/01/08,16,88.9,22.9,20.5,27.9,632.6,1.58,8.4,6.8,21,10.3,已開賣(有預售實登),
90,"驊邦樂水","冬山鄉","驊強開發有限公司","武淵一段671地號","風景區丙種建築用地",16,111/07/20,1,7.1,7.1,7.1,112/10/26,112/12/04,113/01/16,113/03/04,16,100,22.9,20,24.3,1381.1,3.23,15.8,15.2,17.9,1.6,已開賣(有預售實登),
91,"純享-享家","冬山鄉","享邑建設開發有限公司","八仙段287地號","特定農業區甲種建築用地",9,109/12/25,1,11.1,11.1,11.1,110/09/11,110/11/29,111/01/28,112/06/19,7,77.8,22.7,19.7,25.4,693.7,2.05,11.6,8.5,13.1,16.7,已開賣(有預售實登),
92,"鑫院I","冬山鄉","僑馥建築經理股份有限公司","補城一段417地號","特定農業區甲種建築用地",12,112/12/14,1,10.2,10.2,10.2,111/12/22,113/11/21,113/12/21,114/02/07,3,25,22.7,21.3,24.5,679.7,2.23,12.5,-11.7,12.3,1.6,已開賣(有預售實登),
93,"靚永美5-東城","冬山鄉","和昌開發建設有限公司","東城段796-40地號","農業區",31,109/08/05,1,7.4,7.4,7.4,111/10/14,111/10/25,111/11/23,114/04/08,30,96.8,22.6,19.1,24.3,1133.5,3.05,15.2,26.3,27.6,28.5,已開賣(有預售實登),
94,"掬月3","冬山鄉","冠擎建設股份有限公司","香和段1055地號","住宅區",18,110/10/20,2,13.3,13,13.5,111/09/08,112/03/02,112/04/07,113/02/02,17,94.4,22.6,20.9,25.9,770.8,1.7,9.3,10.6,17.5,9.9,已開賣(有預售實登),
