序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
135,"艾利永美","壯圍鄉","艾利吉股份有限公司","壯東段551地號","特定農業區甲種建築用地",22,110/03/05,1,6.2,6.2,6.2,111/05/26,113/12/02,114/02/16,115/07/14,22,100,22.9,19.8,27.8,1078.2,3.69,16.7,14.7,47.4,16.9,已開賣(有預售實登),
136,"永美首席","壯圍鄉","宜恩建設有限公司","功勞段52地號","特定農業區甲種建築用地",19,110/10/01,1,8,8,8,111/11/14,112/03/06,112/04/16,112/06/30,19,100,21.3,20.2,23.3,558.2,2.66,13.3,13.4,18.5,2.5,已開賣(有預售實登),
137,"富登新10","壯圍鄉","僑馥建築經理股份有限公司","美城段508地號","特定農業區甲種建築用地",15,111/07/14,1,7.2,7.2,7.2,112/06/02,112/06/07,112/10/09,114/01/20,14,93.3,21.1,18.5,22.9,1209.1,2.93,13.9,10.6,14.9,15.4,已開賣(有預售實登),
138,"赫宇聯勤2","壯圍鄉","仲和建築經理股份有限公司","復興段1137地號","特定農業區甲種建築用地",8,112/08/11,1,5.3,5.3,5.3,113/11/28,114/03/17,114/04/29,114/10/10,7,87.5,21.1,20.5,22,1005.1,3.98,15.8,15.6,20.6,5.4,已開賣(有預售實登),
139,"光匯唯美","壯圍鄉","都江建設有限公司","功勞段1004地號","特定農業區甲種建築用地",13,110/08/05,2,12,10.5,13.5,110/12/13,110/12/21,111/01/17,111/03/12,13,100,21,20.5,23,755.3,1.75,9,4.3,5.4,1.8,已開賣(有預售實登),
140,"美城國五","壯圍鄉","帝璽開發有限公司","壯志段1093地號","特定農業區甲種建築用地",16,111/02/17,1,6.6,6.6,6.6,111/08/31,111/09/01,111/10/17,112/10/04,16,100,20.8,19.9,22.7,951.9,3.15,14.2,6.4,8,11.6,已開賣(有預售實登),
141,"國五美津Ⅲ","壯圍鄉","晟暘營造有限公司","功勞段614地號","特定農業區甲種建築用地",10,110/11/26,1,7,7,7,111/04/06,111/12/21,112/03/07,112/06/27,9,90,20.8,19.2,23.2,1005.6,2.97,13.8,4.3,15.3,3.7,已開賣(有預售實登),
142,"微笑登陽NO.2","壯圍鄉","炘鉅建築經理有限公司","美城段639地號","特定農業區甲種建築用地",12,110/07/27,1,8.8,8.8,8.8,111/06/06,111/06/10,111/07/23,112/04/16,12,100,20,19.7,21.1,1064.4,2.27,11.2,10.3,11.9,8.8,已開賣(有預售實登),
143,"天晴Ⅱ","壯圍鄉","御邦營造股份有限公司","壯東段164地號","一般農業區甲種建築用地",11,111/10/06,1,6.8,6.8,6.8,112/08/04,112/08/17,113/01/05,113/03/24,11,100,19.6,18.9,22.2,865.1,2.88,12.8,9.9,15,2.6,已開賣(有預售實登),
144,"歡喜家園no.22","壯圍鄉","鉅大建設股份有限公司","美城段134地號","特定農業區  甲種建築用地",20,108/06/03,1,8,8,8,111/03/16,111/04/07,111/06/28,111/08/06,18,90,18.1,17.4,18.9,869.7,2.26,10.1,33.4,36.8,1.3,已開賣(有預售實登),
145,"長堤NO.11","壯圍鄉","詹雯茜","復興段900地號","特定農業區甲種建築用地",2,110/02/01,1,5.3,5.3,5.3,110/10/21,110/11/22,112/02/27,112/04/24,2,100,17.3,17.1,17.5,795,3.26,12,8.6,24.8,1.8,已開賣(有預售實登),
146,"青靜別墅","壯圍鄉","旭鼎建設有限公司","大福一段789-1地號","一般農業區 甲種建築用地",16,109/10/16,3,2.7,2,4,110/08/06,110/08/10,110/09/26,110/12/10,13,81.2,13.6,13.4,13.9,740.6,5.04,10.9,9.7,11.3,2.5,已開賣(有預售實登),
147,"築院文化生活村","宜蘭市","德築建設有限公司","建業段72地號","住宅區",109,110/08/15,1,23,23,23,113/01/03,113/01/17,113/04/22,115/04/19,77,70.6,42.3,35.1,55,1954.1,1.84,19.3,28.6,32.2,23.9,已開賣(有預售實登),
148,"皇程首賦","宜蘭市","皇程建設股份有限公司","大東段580地號","住宅區",109,109/06/30,1,15,15,15,114/01/24,114/06/19,114/07/19,115/07/30,93,85,42.3,36.9,51.3,1560.6,2.82,27.3,54.8,60.6,12.4,已開賣(有預售實登),
149,"力璟.無疆大境2","宜蘭市","力璟建設有限公司","新公園段133地號","第二種住宅區",18,114/03/21,1,25,25,25,114/10/30,115/02/11,115/03/06,115/07/06,4,22.2,42.1,39.2,45.4,2790.2,1.68,17.1,7.3,11.5,4,已開賣(有預售實登),
150,"文化苑","宜蘭市","銘爵建設有限公司","金六結二段357地號","住宅區",12,113/02/15,2,31.6,26.7,36.5,114/09/04,114/12/08,115/03/20,115/03/20,1,8.3,41.9,41.9,41.9,2400,1.33,10.3,18.6,25.1,0,已開賣(有預售實登),
151,"公園自在NO.5","宜蘭市","和喜自在建設有限公司","進士段266地號","第二種住宅區",7,113/04/18,1,28,28,28,113/12/06,113/12/31,114/01/07,114/12/30,3,42.9,41.6,41.1,42.3,2713.3,1.49,13.6,7.6,8.7,11.7,已開賣(有預售實登),
152,"浦田森陽","宜蘭市","寶宏國際有限公司","新公園段50地號","第二種住宅區",42,108/09/20,1,26.9,26.9,26.9,113/06/05,113/09/24,114/01/04,115/02/03,39,92.9,40.5,36.7,51.7,1473.4,1.51,13.6,56.5,63.5,13,已開賣(有預售實登),
153,"築港霞光生活村","宜蘭市","實築建設有限公司","振興一段158地號","農業區",19,112/04/17,1,16,16,16,113/06/24,113/07/03,113/09/26,115/04/30,7,36.8,40,37.5,41.1,1930.9,2.5,24,14.3,17.3,19.1,已開賣(有預售實登),
154,"代官山","宜蘭市","山卓夫建設開發股份有限公司","振興三段221地號","農業區",24,112/12/20,4,15.3,12.5,17.6,114/05/16,114/09/24,114/12/12,115/01/06,10,41.7,38.5,34.6,42.2,2347.7,2.52,23.2,16.9,23.8,0.8,已開賣(有預售實登),
155,"鳳凰愛買17期","宜蘭市","多佳建設股份有限公司","慈安段832地號","住宅區",18,113/01/18,4,24.9,15,29.6,114/04/10,114/04/18,114/05/23,115/06/03,18,100,38.3,35.1,47.6,717.5,1.54,13.4,14.7,16.1,12.4,已開賣(有預售實登),
156,"宸陽豊礜","宜蘭市","宸陽建設有限公司","金六結二段423地號","住宅區",4,111/09/28,1,28.6,28.6,28.6,112/04/27,112/06/12,113/02/16,113/02/16,1,25,38,38,38,1570,1.33,9.4,6.9,16.6,0,已開賣(有預售實登),
157,"築樹","宜蘭市","俊發建設有限公司","建業段4地號","都市計畫內商業區",30,111/11/04,2,23.6,21.1,26,113/09/04,113/09/24,113/11/04,115/07/03,24,80,37.3,32.6,43.8,1714.1,1.58,13.7,22,24,19.9,已開賣(有預售實登),
158,"天擎陽明","宜蘭市","天擎建築開發有限公司","振興段1418地號","農業區",10,112/10/08,1,22.3,22.3,22.3,113/05/24,113/06/25,113/08/20,115/06/27,7,70,36.7,34.6,41.2,1833.6,1.65,14.4,7.5,10.4,22.2,已開賣(有預售實登),
159,"築楓自在生活村","宜蘭市","德築建設有限公司","健康段6地號","住宅區(住三)",64,110/02/25,1,33,33,33,111/06/21,111/07/04,111/08/04,114/12/05,64,100,36.5,30.8,49.2,1369.7,1.11,3.5,15.8,17.2,40,已開賣(有預售實登),
160,"太平洋至臻","宜蘭市","太平洋建設股份有限公司","建業段29-1地號","第四種住宅區",37,110/09/30,1,24,24,24,113/01/25,113/03/22,113/05/29,113/10/23,36,97.3,35.9,29.3,40.9,1764.5,1.5,11.9,27.8,31.9,4.8,已開賣(有預售實登),
161,"川禾富居NO.20","宜蘭市","卓曄建設開發有限公司","宜福段667地號","特定農業區甲種建築用地",20,110/10/02,1,12,12,12,112/09/13,113/10/18,114/03/03,115/04/01,9,45,35.3,32.8,44.4,1014.7,2.94,23.3,23.4,41,12.9,已開賣(有預售實登),
162,"美澍家NO.3","宜蘭市","北岳建設股份有限公司","振興段977地號","農業區",21,110/04/09,1,14.7,14.7,14.7,111/10/05,112/07/13,112/08/16,112/09/26,21,100,34.8,31.9,39.1,832,2.37,20.1,17.9,28.2,1.3,已開賣(有預售實登),
163,"麗璟.東門風華","宜蘭市","麗璟建設有限公司","艮門二段717地號","住宅區",16,110/08/15,1,19.7,19.7,19.7,109/11/27,112/10/19,112/11/27,114/03/25,14,87.5,34.6,32.5,37.2,1201.5,1.76,14.9,-8.6,27.4,15.9,已開賣(有預售實登),
164,"遇上巴黎2","宜蘭市","舒美興建設有限公司","慈安段1116地號","住宅區",16,110/03/20,1,21,21,21,113/02/27,113/05/06,113/11/20,113/12/20,16,100,34.1,32.2,40.3,770.8,1.62,13.1,35.3,44.1,1,已開賣(有預售實登),
165,"力信擎美","宜蘭市","力源建設有限公司","和平段13地號","第四種住宅區",34,108/01/05,1,17,17,17,111/07/18,111/08/03,111/09/03,111/10/09,30,88.2,31.9,30.1,34.2,1117.5,1.88,14.9,42.4,43.9,1.2,已開賣(有預售實登),
166,"水硯","宜蘭市","昇築建設有限公司","乾門一段413地號","住宅區",42,109/12/08,1,21,21,21,111/04/27,111/05/20,111/07/05,113/09/14,42,100,31.8,25.2,40.6,1173.6,1.51,10.8,16.6,18.9,26.3,已開賣(有預售實登),
167,"歡喜家園no.23","宜蘭市","灴圖股份有限公司","新生段59地號","住宅區",88,110/10/14,1,18,18,18,111/12/15,112/02/06,112/04/25,113/10/11,88,100,31.4,28,35,895.9,1.74,13.4,14,18.3,17.6,已開賣(有預售實登),
168,"富登新16","宜蘭市","閎綸建設有限公司","雙福段165-1地號","農業區",37,109/11/13,1,15.8,15.8,15.8,113/07/22,113/08/05,113/10/15,114/11/01,17,45.9,31.2,28,50.9,1154,1.97,15.4,44.3,47,12.6,已開賣(有預售實登),
169,"有鄰居7","宜蘭市","相鄰建設有限公司","新生段5地號","住宅區",16,112/05/27,1,20.2,20.2,20.2,112/12/27,113/01/29,113/03/27,114/06/17,16,100,29.6,28,32.8,798.3,1.47,9.4,7,10,14.7,已開賣(有預售實登),
170,"園周綠第八期","宜蘭市","園周綠建設有限公司","和睦段1528地號","住宅區",45,108/12/30,2,10,10,10,110/11/01,110/12/16,111/02/19,112/02/16,43,95.6,29.5,25.9,32.1,678,2.95,19.5,22.1,25.7,11.9,已開賣(有預售實登),
171,"蘭城序","宜蘭市","僑馥建築經理股份有限公司","凱旋二段112地號","特定農業區甲種建築用地",17,112/06/15,6,7.6,1.8,11.2,112/07/05,112/11/03,112/12/13,113/05/18,16,94.1,28.8,25.4,38.3,1127.6,3.79,21.2,0.7,5.9,5.2,已開賣(有預售實登),
172,"太子興．賞","宜蘭市","太子興建設有限公司","北津段121地號","住宅區",28,113/03/05,1,9.7,9.7,9.7,114/02/19,114/08/02,114/09/18,115/06/22,28,100,27.9,26.4,29.3,870.7,2.88,18.2,11.5,18.5,9.1,已開賣(有預售實登),
173,"豫呈桐沁","宜蘭市","豫呈建設有限公司","乾門二段576地號","住宅區",6,110/12/12,1,23.8,23.8,23.8,112/01/05,112/01/10,112/02/14,112/02/16,3,50,27.1,26.7,27.8,662,1.14,3.3,12.8,14.1,0.1,已開賣(有預售實登),
174,"宗硯大砌系列16","宜蘭市","宗硯建設有限公司","新張段719地號","特定農業區甲種建築用地",43,108/04/19,1,10.7,10.7,10.7,111/11/24,112/03/08,112/09/15,114/06/30,42,97.7,27.1,24,33.9,766.2,2.53,16.4,43.2,52.9,21.5,已開賣(有預售實登),
175,"宏江閱河","宜蘭市","宏江開發事業股份有限公司","艮門三段53地號","住宅區",32,110/07/03,1,30.8,30.8,30.8,110/12/15,111/02/24,111/01/19,111/10/12,31,96.9,26.9,23.8,31.8,737.2,0.87,-3.9,5.4,6.6,8.7,已開賣(有預售實登),
176,"蘭陽翠庭","宜蘭市","佳筑建設股份有限公司","梅洲段263地號","特定農業區甲種建築用地",32,111/01/20,1,14,14,14,111/09/07,112/01/19,112/03/13,112/12/19,21,65.6,26,24,28.8,780.5,1.86,12,7.6,13.7,9.2,已開賣(有預售實登),
177,"京采宜蘭3","宜蘭市","京騰建設開發有限公司","金七結段1048地號","住宅區",12,110/03/01,1,14.1,14.1,14.1,111/12/07,112/05/05,112/06/02,112/10/12,11,91.7,26,25,27.9,865.1,1.84,11.9,21.2,27,4.3,已開賣(有預售實登),
178,"太子興．賞II","宜蘭市","太子興建設有限公司","北津段121-2地號","住宅區",16,113/03/05,1,9.7,9.7,9.7,114/03/03,115/04/24,115/06/06,115/07/20,3,18.8,25.9,25,27,826.3,2.67,16.2,11.9,27,1.4,已開賣(有預售實登),
179,"蘭陽臻美6","宜蘭市","京朝順建設有限公司","黎明段862地號","農業區",16,110/06/03,1,17.4,17.4,17.4,110/12/06,111/01/13,111/02/18,112/06/10,16,100,25.8,24.5,29.1,1248.2,1.48,8.4,6.1,8.5,15.7,已開賣(有預售實登),
180,"文風翠庭第十九期","宜蘭市","宏福開發建設有限公司","乾門一段1082地號","住宅區",59,109/09/28,6,27.4,13.5,50.9,110/08/02,110/08/09,110/09/04,111/10/30,54,91.5,25.5,23.7,29,1023.2,0.93,-1.9,10.1,11.2,13.8,已開賣(有預售實登),
181,"寅成NO.2","宜蘭市","寅成建設有限公司","茭白段131地號","農業區",5,111/09/28,1,11.8,11.8,11.8,112/05/17,112/06/26,112/10/08,113/03/16,5,100,24.9,24.1,25.5,1428.6,2.11,13.1,7.6,12.3,5.3,已開賣(有預售實登),
182,"延平天下","宜蘭市","鉅衡建設有限公司","宜興段138地號","住宅區",44,111/07/01,2,21.5,21.5,21.5,112/02/01,112/02/17,112/03/17,113/06/25,36,81.8,24.6,21.8,28.1,1143.3,1.14,3.1,7.1,8.5,15.3,已開賣(有預售實登),
183,"藏睿別墅","宜蘭市","惠鉅建設有限公司","梅洲段477-26地號","特定農業區甲種建築用地",7,110/04/13,1,10,10,10,110/07/02,110/07/22,110/09/09,112/05/08,7,100,24.2,22.6,25.8,1860.6,2.42,14.2,2.6,4.9,19.9,已開賣(有預售實登),
184,"鳳凰愛買-縣政凱旋","宜蘭市","多佳建設股份有限公司","凱旋二段110地號","特定農業區甲種建築用地",10,109/10/11,1,12.9,12.9,12.9,110/09/17,110/10/29,110/12/19,111/02/28,10,100,22.1,20.4,23.6,1042.6,1.71,9.2,11.2,14.3,2.3,已開賣(有預售實登),
185,"喜耀晨曦","宜蘭市","喜耀建設有限公司","茭白段701地號","農業區",10,109/12/28,1,11,11,11,111/02/07,111/04/28,111/10/03,112/02/15,10,100,20.2,18.7,23.1,604.1,1.84,9.2,13.3,21.2,4.4,已開賣(有預售實登),
186,"縣政天下2期","宜蘭市","鉅衡建設有限公司","南津段189地號","農業區",16,109/11/08,1,10.8,10.8,10.8,111/01/10,111/02/15,110/08/19,111/07/31,14,87.5,20,17,21.8,846.4,1.85,9.2,14.1,9.3,11.4,已開賣(有預售實登),
187,"富登新9","宜蘭市","仲和建築經理股份有限公司","茭白段161地號","農業區",22,110/05/11,1,9,9,9,111/10/26,111/10/28,112/02/10,113/01/17,22,100,19.9,17,23.2,758.1,2.21,10.9,17.5,21,11.2,已開賣(有預售實登),
188,"鹿鳴筑","員山鄉","力全營造股份有限公司","員山段403地號","住宅區",17,112/12/21,1,19.6,19.6,19.6,114/06/02,114/11/19,115/05/08,115/05/08,1,5.9,38.9,38.9,38.9,1602,1.98,19.3,17.4,28.6,0,已開賣(有預售實登),
189,"文風翠庭第二十期","員山鄉","朝曦開發建設有限公司","外員段529地號","住宅區",55,108/08/17,3,14.8,13.5,15.5,112/09/22,112/10/26,112/11/02,114/04/08,53,96.4,29.7,27.3,32.6,824.5,2.01,14.9,49.2,50.5,17.2,已開賣(有預售實登),
190,"頤和知序","員山鄉","侑松有限公司","外員段729地號","住宅區",42,114/01/17,1,10,10,10,114/12/19,115/05/27,115/07/08,115/07/31,10,24,29,28,29.5,777.1,2.9,19,11,17.6,0.8,已開賣(有預售實登),
191,"文風翠庭第22期","員山鄉","誠永建設有限公司","深惠段463地號","鄉村區乙種建築用地",17,105/11/17,1,6.9,6.9,6.9,114/08/19,115/05/05,115/06/07,115/07/19,4,23.5,27,26.4,27.3,1387,3.91,20.1,105,114.6,1.4,已開賣(有預售實登),
192,"文風翠庭第21期","員山鄉","誠永建設有限公司","深惠段463-37地號","特定農業區 甲種建築用地、鄉村區 乙種建築用地",17,110/08/06,3,7.8,6.9,9,114/08/19,114/09/15,114/10/02,115/04/10,13,76.5,26.9,25.6,31.9,1360.2,3.45,19.1,48.4,49.9,6.2,已開賣(有預售實登),
193,"富登新15","員山鄉","閎綸建設有限公司","茄苳林段319地號","特定農業區甲種建築用地",17,112/09/02,2,6.2,4.5,7.9,113/03/06,113/03/06,113/06/27,114/02/08,15,88.2,26.7,25.9,27.9,1173.7,4.31,20.5,6.1,9.8,7.4,已開賣(有預售實登),
194,"山水居","員山鄉","山水建設有限公司","深福段77地號","特定農業區甲種建築用地",4,114/03/24,1,15.5,15.5,15.5,114/11/04,115/01/22,115/04/03,115/04/03,2,50,26.7,26.7,26.7,1500,1.72,11.2,7.4,12.3,0,已開賣(有預售實登),
195,"宸陽城陽","員山鄉","宸陽建設有限公司","阿蘭城段97地號","鄉村區乙種建築用地",12,112/08/28,2,10.8,10.8,10.8,113/01/05,113/01/29,113/02/21,113/08/24,12,100,26.5,25.7,27.2,685.7,2.45,15.7,4.3,5.8,6.1,已開賣(有預售實登),
196,"馥御首席","員山鄉","居立建設有限公司","阿蘭城段26地號","鄉村區乙種建築用地",6,111/11/12,1,11.5,11.5,11.5,112/05/19,112/08/07,112/10/18,112/12/02,6,100,25.8,24.3,28.4,1097.5,2.24,14.3,6.2,11.2,1.5,已開賣(有預售實登),
197,"築荷5","員山鄉","冠銓建設股份有限公司","新三泰段660地號","鄉村區乙種建築用地",37,112/12/02,1,10.5,10.5,10.5,114/01/02,114/01/04,114/01/25,115/05/16,22,59.5,25.6,22.6,28.8,1275.1,2.44,15.1,13,13.8,15.6,已開賣(有預售實登),
198,"頤和員山","員山鄉","侑松有限公司","外員段695地號","住宅區",35,112/04/21,2,9.8,8.1,11.4,112/08/15,112/09/21,112/11/10,112/12/19,34,97.1,25,22.8,27.8,980.6,2.55,15.2,3.8,6.7,1.3,已開賣(有預售實登),
199,"青井澤15","員山鄉","麗都建設股份有限公司","外員段276地號","住宅區",76,112/06/26,1,10.5,10.5,10.5,112/11/08,112/11/16,112/12/26,113/04/23,73,96.1,24.8,23.6,26.6,714.2,2.36,14.3,4.4,6,3.9,已開賣(有預售實登),
200,"向青苑5","員山鄉","綠景開發建設有限公司","深洲段324-11地號","特定農業區甲種建築用地",7,110/11/15,1,7.6,7.6,7.6,112/11/14,113/03/19,113/04/23,113/11/24,6,85.7,24.2,23.2,25.3,1106,3.18,16.6,24,29.2,7.1,已開賣(有預售實登),
201,"鳳凰愛買16期","員山鄉","以日建設股份有限公司","慶安段607地號","特定農業區甲種建築用地",33,111/08/04,1,10.4,10.4,10.4,113/08/20,113/11/19,113/12/09,115/07/21,32,97,24,21,26.1,666,2.31,13.6,24.5,28.2,19.4,已開賣(有預售實登),
202,"宸陽城陽6","員山鄉","宸陽建設有限公司","阿蘭城段152地號","鄉村區乙種建築用地",6,113/11/30,1,12,12,12,114/07/29,114/10/08,114/12/06,115/01/20,3,50,24,23.5,24.4,643.3,2,12,7.9,12.2,1.5,已開賣(有預售實登),
203,"大湖金城","員山鄉","亞譽建設有限公司","湖北段439地號","特定農業區甲種建築用地",11,111/03/05,1,7.5,7.5,7.5,113/04/02,113/04/18,113/05/27,113/11/14,10,90.9,23.9,21.5,26.7,1110.8,3.19,16.4,24.9,26.7,5.6,已開賣(有預售實登),
204,"常青紅3","員山鄉","德銘開發建設有限公司","新三泰段1713地號","特定農業區甲種建築用地",17,110/08/12,1,11.5,11.5,11.5,111/12/22,112/03/17,112/05/24,113/06/11,14,82.4,23.7,22.4,27.2,756.1,2.06,12.2,16.3,21.4,12.6,已開賣(有預售實登),
205,"佳荷5","員山鄉","佳荷建設股份有限公司","新三泰段1593地號","特定農業區甲種建築用地",13,114/11/15,1,14.5,14.5,14.5,115/06/16,115/06/25,115/07/12,115/07/31,7,54,23.7,22.7,25.1,1179.4,1.63,9.2,7,7.9,0.6,已開賣(有預售實登),
206,"紘大旺築","員山鄉","紘大建設有限公司","新洲子段106地號","特定農業區甲種建築用地",25,108/03/05,1,6,6,6,110/04/12,113/04/15,113/07/06,115/03/12,19,76,23.5,22.2,29.6,695.4,3.92,17.5,25.3,64.1,20.2,已開賣(有預售實登),
207,"佳荷2","員山鄉","佳荷建設股份有限公司","大三鬮段232地號","特定農業區甲種建築用地",21,112/03/05,1,12.5,12.5,12.5,112/10/11,112/10/20,112/10/31,112/12/30,20,95.2,23.4,21.9,24.7,658.6,1.87,10.9,7.2,7.9,2,已開賣(有預售實登),
208,"鳳凰愛買-員山你好B基地","員山鄉","亞各建設股份有限公司","金泰段758地號","住宅區",24,110/03/23,1,14,14,14,111/06/16,111/07/05,111/08/24,113/05/20,23,95.8,23.1,21.7,24.9,770.4,1.65,9.1,14.8,17.1,20.9,已開賣(有預售實登),
209,"羽松","員山鄉","僑馥建築經理股份有限公司","深福段359地號","特定農業區甲種建築用地",14,112/02/21,1,11.2,11.2,11.2,112/08/22,113/03/11,113/12/28,114/01/11,2,14.3,23.1,22.6,23.7,1055,2.06,11.9,6,22.2,0.5,已開賣(有預售實登),
210,"光匯員園","員山鄉","都江建設有限公司","新三泰段1250地號","鄉村區乙種建築用地",14,110/12/12,1,8.9,8.9,8.9,112/03/22,112/04/24,112/05/24,112/07/07,14,100,23,21,26.6,709.9,2.58,14.1,15.3,17.3,1.4,已開賣(有預售實登),
211,"香榭麗舍NO.9","員山鄉","正大開發有限公司","新洲子段113地號","特定農業區甲種建築用地",56,112/08/04,1,8,8,8,113/05/24,113/06/11,113/07/10,115/05/18,26,46.4,22.9,20.1,27.5,778.6,2.86,14.9,9.7,11.2,22.2,已開賣(有預售實登),
212,"鳳凰愛買20期","員山鄉","多佳建設股份有限公司","枕山一段1739地號","一般農業區甲種建築用地",40,113/02/22,1,11.2,11.2,11.2,114/09/17,114/10/13,114/10/31,115/07/03,35,87.5,22.9,20.6,26.9,983.9,2.04,11.7,18.8,20.3,8,已開賣(有預售實登),
213,"築荷3","員山鄉","冠銓建設股份有限公司","新三泰段1297地號","鄉村區乙種建築用地",11,111/06/17,1,4.5,4.5,4.5,111/11/03,111/11/05,111/12/02,112/07/10,11,100,22.7,21.3,24.2,1118.9,5.04,18.2,4.6,5.5,7.2,已開賣(有預售實登),
214,"寬美3","員山鄉","欣鑫建設有限公司","新洲子段116-1地號","特定農業區甲種建築用地",23,112/04/26,1,6.8,6.8,6.8,113/01/30,113/04/10,113/05/04,113/07/06,23,100,22.7,21.5,24.8,1074.3,3.34,15.9,9.2,12.3,2.1,已開賣(有預售實登),
215,"鳳凰愛買-員山你好  A基地","員山鄉","亞各建設股份有限公司","外員段509地號","住宅區",16,110/04/20,1,14,14,14,111/04/11,111/05/05,111/07/09,112/11/28,16,100,22.6,20.8,24.3,746.7,1.61,8.6,11.7,14.6,16.7,已開賣(有預售實登),
216,"富登新11","員山鄉","閎綸建設有限公司","深福段73地號","特定農業區甲種建築用地",7,110/05/16,1,8.2,8.2,8.2,114/06/23,114/06/27,114/09/03,114/11/06,4,57.1,22.6,21,23.5,1370,2.76,14.4,49.2,51.6,2.1,已開賣(有預售實登),
217,"好適悅III 金邑宸","員山鄉","好適悅建設有限公司","深福段299地號","特定農業區甲種建築用地",42,111/09/12,1,11,11,11,112/11/27,113/04/11,113/05/20,115/05/31,28,66.7,21.8,20.7,22.4,747.8,1.98,10.8,14.5,20.2,24.3,已開賣(有預售實登),
218,"員山青庭","員山鄉","群寶建設有限公司","東德段381地號","特定農業區甲種建築用地",17,111/09/22,1,12,12,12,112/05/22,112/06/12,112/07/08,113/03/24,17,100,21.6,20.2,22.6,1134.9,1.8,9.6,8,9.5,8.5,已開賣(有預售實登),
219,"松佑鑫時代","員山鄉","松佑建設有限公司","深福段538地號","特定農業區甲種建築用地",22,114/01/10,2,5.7,5.5,5.8,114/04/07,114/12/23,115/02/26,115/07/05,7,31.8,21.6,20.7,22.3,649.1,3.79,15.9,2.9,13.5,4.2,已開賣(有預售實登),
220,"元登一期","員山鄉","元登建設有限公司","東德段310-2地號","特定農業區甲種建築用地",5,110/02/03,1,9,9,9,111/10/19,112/04/07,112/06/13,112/08/24,5,100,20.7,19,22.1,933.6,2.3,11.7,20.5,28.3,2.4,已開賣(有預售實登),
221,"京采員山8","員山鄉","京騰建設開發有限公司","新洲子段109-27地號","特定農業區甲種建築用地",25,110/10/15,2,6.4,5.8,7,111/08/22,111/08/24,111/09/11,113/07/06,24,96,20.5,18.7,23.4,924.6,3.2,14.1,10.2,10.9,21.8,已開賣(有預售實登),
222,"豫呈怡然居","員山鄉","豫呈建設有限公司","深洲段266地號","特定農業區甲種建築用地",5,109/08/14,1,6.7,6.7,6.7,112/03/22,112/03/31,112/05/03,112/05/10,5,100,20,19.1,20.9,1015,2.99,13.3,31.2,32.6,0.2,已開賣(有預售實登),
223,"京采員山7","員山鄉","駿展建設開發有限公司、京騰建設開發有限公司","水源段66-12地號","特定農業區甲種建築用地",7,110/03/06,1,13,13,13,111/01/24,111/02/23,111/03/21,111/06/16,7,100,19.9,19,21.1,968.7,1.53,6.9,10.6,12.5,2.9,已開賣(有預售實登),
224,"香榭麗舍NO.6","員山鄉","鳳正建設有限公司","同結段564地號","特定農業區甲種建築用地",25,109/10/20,2,4.5,2.5,6.5,111/03/28,111/04/13,111/06/01,112/04/28,25,100,19.4,18.2,23.8,615,4.31,14.9,17.2,19.4,10.9,已開賣(有預售實登),
225,"鳳凰愛買第一期","員山鄉","以立建設股份有限公司","阿蘭城段3地號","鄉村區乙種建築用地",33,110/04/20,5,9.5,6.8,10.6,110/05/25,110/07/21,110/08/18,110/11/22,31,93.9,19,17.4,19.7,806.7,2,9.5,1.1,3.9,3.2,已開賣(有預售實登),
226,"水源名居","員山鄉","震東建設有限公司","水源段54-2地號","特定農業區甲種建築用地",21,106/02/10,2,6.3,2,10.6,110/11/05,110/11/17,110/12/25,111/02/22,17,81,18.5,17.7,19.1,486.2,2.94,12.2,56.8,58.4,1.9,已開賣(有預售實登),
227,"宗硯大砌系列14","員山鄉","宗硯建設有限公司","永結段529-2地號","一般農業區甲種建築用地",28,109/09/29,1,5.5,5.5,5.5,110/08/10,111/05/02,111/06/25,111/09/16,22,78.6,18.4,18.3,18.9,701.4,3.35,12.9,10.3,20.8,2.7,已開賣(有預售實登),
228,"大安禾耘5","員山鄉","勝築建設有限公司","船仔頭段270-1地號","特定農業區甲種建築用地",14,110/07/23,1,7.5,7.5,7.5,111/01/27,111/01/27,111/03/05,111/07/15,11,78.6,18.3,17.1,19.7,836.3,2.44,10.8,6.2,7.4,4.3,已開賣(有預售實登),
229,"精品名邸","員山鄉","菁品建設有限公司","深洲段973地號","特定農業區甲種建築用地",30,110/09/09,1,8.3,8.3,8.3,112/03/22,112/03/30,112/05/01,114/07/11,30,100,16.9,14.6,18.6,641.7,2.04,8.6,18.4,19.7,26.3,已開賣(有預售實登),
230,"京騰一邸(第十一期)京采員山6","員山鄉","京騰建設開發有限公司","東德段310地號","特定農業區甲種建築用地",4,110/02/03,1,9,9,9,110/08/18,110/09/14,110/09/28,110/10/09,4,100,16.5,16,17.3,858.2,1.83,7.5,6.4,7.8,0.4,已開賣(有預售實登),
